                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0611,                0.53267,                 1.0558,                0.94606,                0.93447,                 0.9665,                0.66262,                  1.175,                0.44482,                  1.094,               0.003961,               0.003961,               0.003961
                     64,                 1.0553,                0.52578,                 1.0551,                0.94517,                0.93478,                0.96635,                 0.6618,                 1.1766,                0.44394,                 1.0945,               0.003862,               0.003862,               0.003862
                     65,                 1.0545,                0.52384,                 1.0564,                0.94488,                 0.9359,                0.96614,                0.66205,                 1.1753,                0.44395,                 1.0941,               0.003763,               0.003763,               0.003763
                     66,                 1.0485,                0.52322,                 1.0537,                0.94374,                0.93541,                0.96621,                0.66268,                 1.1783,                0.44375,                 1.0956,               0.003664,               0.003664,               0.003664
                     67,                 1.0448,                0.52119,                 1.0509,                0.94345,                0.93531,                0.96599,                0.66198,                 1.1775,                0.44309,                 1.0954,               0.003565,               0.003565,               0.003565
                     68,                 1.0452,                 0.5205,                  1.051,                0.94366,                 0.9355,                  0.966,                0.66235,                  1.178,                0.44254,                 1.0958,               0.003466,               0.003466,               0.003466
                     69,                  1.039,                0.51728,                 1.0495,                0.94284,                0.93551,                0.96582,                0.66145,                 1.1784,                0.44281,                 1.0962,               0.003367,               0.003367,               0.003367
                     70,                 1.0369,                0.51612,                 1.0488,                0.94765,                0.93119,                0.96577,                0.66147,                 1.1787,                0.44222,                 1.0964,               0.003268,               0.003268,               0.003268
                     71,                 1.0341,                0.51429,                  1.048,                0.94199,                0.93611,                0.96586,                0.66175,                 1.1792,                0.44219,                 1.0966,               0.003169,               0.003169,               0.003169
                     72,                 1.0258,                0.50894,                 1.0422,                0.94036,                 0.9367,                0.96588,                0.66172,                 1.1795,                0.44194,                 1.0966,                0.00307,                0.00307,                0.00307
                     73,                  1.028,                0.50894,                 1.0445,                0.94001,                0.93669,                0.96602,                0.66128,                 1.1797,                0.44205,                 1.0968,               0.002971,               0.002971,               0.002971
                     74,                 1.0246,                0.50822,                 1.0424,                0.94052,                 0.9359,                0.96587,                0.66181,                 1.1809,                0.44204,                 1.0974,               0.002872,               0.002872,               0.002872
                     75,                  1.018,                0.50088,                 1.0366,                0.94211,                0.93453,                0.96575,                0.66201,                 1.1809,                0.44198,                 1.0972,               0.002773,               0.002773,               0.002773
                     76,                 1.0119,                0.49876,                 1.0371,                0.95053,                0.92667,                0.96577,                0.66149,                 1.1819,                0.44188,                 1.0976,               0.002674,               0.002674,               0.002674
                     77,                 1.0133,                0.50018,                 1.0374,                0.94952,                0.92683,                 0.9658,                0.66157,                 1.1822,                  0.442,                 1.0979,               0.002575,               0.002575,               0.002575
                     78,                 1.0147,                0.50112,                 1.0388,                0.94966,                 0.9271,                0.96586,                0.66207,                  1.183,                0.44237,                 1.0982,               0.002476,               0.002476,               0.002476
                     79,                 1.0071,                0.49698,                  1.034,                0.95135,                0.92602,                0.96591,                0.66248,                 1.1826,                0.44207,                  1.098,               0.002377,               0.002377,               0.002377
                     80,                 1.0065,                0.49199,                  1.033,                0.95188,                0.92574,                0.96598,                0.66221,                 1.1823,                 0.4418,                 1.0979,               0.002278,               0.002278,               0.002278
                     81,                 1.0043,                0.49137,                 1.0314,                0.95175,                0.92514,                0.96595,                0.66172,                 1.1825,                0.44173,                  1.098,               0.002179,               0.002179,               0.002179
                     82,                0.99875,                 0.4865,                 1.0281,                0.95208,                0.92512,                0.96583,                0.66126,                  1.183,                0.44117,                 1.0982,                0.00208,                0.00208,                0.00208
                     83,                0.99581,                0.48744,                 1.0273,                0.95197,                0.92503,                0.96588,                0.66049,                 1.1837,                0.44136,                 1.0984,               0.001981,               0.001981,               0.001981
                     84,                0.99216,                0.48646,                 1.0266,                0.95184,                0.92473,                 0.9658,                0.66029,                 1.1836,                0.44131,                 1.0985,               0.001882,               0.001882,               0.001882
                     85,                0.99202,                0.48107,                 1.0263,                0.95059,                0.92693,                0.96556,                0.66002,                 1.1835,                0.44108,                 1.0985,               0.001783,               0.001783,               0.001783
                     86,                 0.9852,                0.48107,                 1.0242,                0.94915,                0.92725,                0.96559,                0.66096,                 1.1844,                0.44141,                 1.0988,               0.001684,               0.001684,               0.001684
                     87,                0.97955,                0.47842,                 1.0209,                0.94878,                0.92763,                0.96546,                 0.6611,                 1.1849,                0.44131,                  1.099,               0.001585,               0.001585,               0.001585
                     88,                0.98037,                0.47793,                 1.0216,                0.94878,                0.92779,                0.96542,                0.66115,                 1.1851,                0.44134,                 1.0991,               0.001486,               0.001486,               0.001486
